"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/app.controller.ts", "TypeScript", 10, 0, 0, 3, 13
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/app.module.ts", "TypeScript", 39, 0, 1, 2, 42
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/app.service.ts", "TypeScript", 9, 0, 10, 6, 25
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-roles/access-control-roles.model.ts", "TypeScript", 10, 0, 0, 5, 15
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-roles/access-control-roles.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-roles/access-control-roles.resolver.ts", "TypeScript", 11, 0, 0, 3, 14
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-roles/access-control-roles.service.ts", "TypeScript", 14, 0, 0, 4, 18
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-users/access-control-users.model.ts", "TypeScript", 6, 0, 0, 2, 8
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-users/access-control-users.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-users/access-control-users.resolver.ts", "TypeScript", 11, 0, 0, 3, 14
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-users/access-control-users.service.ts", "TypeScript", 37, 0, 0, 13, 50
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-events/all-promo-events.module.ts", "TypeScript", 8, 0, 0, 2, 10
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-events/all-promo-events.resolver.ts", "TypeScript", 13, 0, 0, 3, 16
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-events/all-promo-events.service.ts", "TypeScript", 35, 0, 0, 9, 44
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-tickets/all-promo-tickets.module.ts", "TypeScript", 12, 0, 0, 2, 14
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-tickets/all-promo-tickets.resolver.ts", "TypeScript", 19, 0, 0, 3, 22
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-tickets/all-promo-tickets.service.ts", "TypeScript", 34, 0, 0, 10, 44
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/child-contracts/child-contracts.model.ts", "TypeScript", 14, 0, 0, 6, 20
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/child-contracts/child-contracts.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/child-contracts/child-contracts.resolver.ts", "TypeScript", 11, 0, 0, 3, 14
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/child-contracts/child-contracts.service.ts", "TypeScript", 16, 0, 0, 4, 20
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/lab.module.ts", "TypeScript", 25, 0, 0, 2, 27
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/lab.resolver.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/lab.schema.ts", "TypeScript", 2, 0, 2, 2, 6
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/lab.service.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-counts/promo-counts.model.ts", "TypeScript", 8, 0, 0, 3, 11
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-counts/promo-counts.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-counts/promo-counts.resolver.ts", "TypeScript", 11, 0, 0, 3, 14
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-counts/promo-counts.service.ts", "TypeScript", 17, 0, 0, 6, 23
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-event/promo-event.model.ts", "TypeScript", 22, 0, 0, 10, 32
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-event/promo-event.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-event/promo-event.resolver.ts", "TypeScript", 11, 0, 0, 3, 14
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-event/promo-event.service.ts", "TypeScript", 20, 0, 0, 8, 28
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/redeemable-promo-tickets/redeemable-promo-tickets.model.ts", "TypeScript", 11, 0, 0, 3, 14
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/redeemable-promo-tickets/redeemable-promo-tickets.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/redeemable-promo-tickets/redeemable-promo-tickets.resolver.ts", "TypeScript", 19, 0, 0, 3, 22
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/redeemable-promo-tickets/redeemable-promo-tickets.service.ts", "TypeScript", 31, 0, 0, 9, 40
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/marketplace/marketplace-rules/marketplace-rules.model.ts", "TypeScript", 14, 0, 0, 7, 21
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/marketplace/marketplace-rules/marketplace-rules.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/marketplace/marketplace-rules/marketplace-rules.resolver.ts", "TypeScript", 11, 0, 0, 3, 14
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/marketplace/marketplace-rules/marketplace-rules.service.ts", "TypeScript", 20, 0, 0, 6, 26
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/marketplace/marketplace.module.ts", "TypeScript", 9, 0, 0, 2, 11
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/marketplace/marketplace.resolver.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/marketplace/marketplace.schema.ts", "TypeScript", 2, 0, 2, 2, 6
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/marketplace/marketplace.service.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/matching/matching.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/matching/matching.resolver.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/matching/matching.schema.ts", "TypeScript", 2, 0, 2, 2, 6
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/matching/matching.service.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/blending-rules/blending-rules.model.ts", "TypeScript", 12, 0, 0, 5, 17
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/blending-rules/blending-rules.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/blending-rules/blending-rules.resolver.ts", "TypeScript", 11, 0, 0, 3, 14
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/blending-rules/blending-rules.service.ts", "TypeScript", 27, 0, 0, 10, 37
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/legendnft/legendnft.model.ts", "TypeScript", 30, 0, 20, 20, 70
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/legendnft/legendnft.module.ts", "TypeScript", 7, 0, 0, 3, 10
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/legendnft/legendnft.resolver.ts", "TypeScript", 16, 0, 0, 4, 20
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/legendnft/legendnft.service.ts", "TypeScript", 31, 0, 54, 29, 114
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/nft.module.ts", "TypeScript", 9, 0, 0, 3, 12
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/nft.resolver.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/nft.schema.ts", "TypeScript", 2, 0, 2, 3, 7
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/nft/nft.service.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/reju/reju.module.ts", "TypeScript", 9, 0, 0, 2, 11
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/reju/reju.resolver.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/reju/reju.schema.ts", "TypeScript", 2, 0, 2, 2, 6
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/reju/reju.service.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/reju/rejuvenation-rules/rejuvenation-rules.model.ts", "TypeScript", 12, 0, 0, 6, 18
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/reju/rejuvenation-rules/rejuvenation-rules.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/reju/rejuvenation-rules/rejuvenation-rules.resolver.ts", "TypeScript", 11, 0, 0, 3, 14
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/reju/rejuvenation-rules/rejuvenation-rules.service.ts", "TypeScript", 19, 0, 0, 6, 25
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/token/token.module.ts", "TypeScript", 7, 0, 0, 2, 9
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/token/token.resolver.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/token/token.schema.ts", "TypeScript", 2, 0, 2, 2, 6
"/home/gavin/LegendaryLabs/GraphQL-API/src/app/token/token.service.ts", "TypeScript", 3, 0, 0, 2, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/lab/LegendsLaboratory.sol/LegendsLaboratory.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/lab/LegendsLaboratory.sol/LegendsLaboratory.json", "JSON", 0, 1171, 0, 1, 1172
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/lab/TicketMachine.sol/TicketMachine.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/lab/TicketMachine.sol/TicketMachine.json", "JSON", 0, 278, 0, 1, 279
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/legend/ILegendMetadata.sol/ILegendMetadata.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/legend/ILegendMetadata.sol/ILegendMetadata.json", "JSON", 0, 193, 0, 1, 194
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/legend/LegendsNFT.sol/LegendsNFT.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/legend/LegendsNFT.sol/LegendsNFT.json", "JSON", 0, 950, 0, 1, 951
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/LegendsMarketplace.sol/LegendsMarketplace.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/LegendsMarketplace.sol/LegendsMarketplace.json", "JSON", 0, 715, 0, 1, 716
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/escrow/LegendsEscrow.sol/LegendsEscrow.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/escrow/LegendsEscrow.sol/LegendsEscrow.json", "JSON", 0, 365, 0, 1, 366
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/escrow/LegendsMarketClerk.sol/LegendsMarketClerk.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/escrow/LegendsMarketClerk.sol/LegendsMarketClerk.json", "JSON", 0, 73, 0, 1, 74
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/listings/ILegendListing.sol/ILegendListing.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/listings/ILegendListing.sol/ILegendListing.json", "JSON", 0, 120, 0, 1, 121
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/listings/LegendAuction.sol/LegendAuction.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/listings/LegendAuction.sol/LegendAuction.json", "JSON", 0, 360, 0, 1, 361
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/listings/LegendSale.sol/LegendSale.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/marketplace/listings/LegendSale.sol/LegendSale.json", "JSON", 0, 238, 0, 1, 239
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/matching/LegendsMatchingBoard.sol/LegendsMatchingBoard.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/matching/LegendsMatchingBoard.sol/LegendsMatchingBoard.json", "JSON", 0, 380, 0, 1, 381
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/matching/match/ILegendMatch.sol/ILegendMatch.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/matching/match/ILegendMatch.sol/ILegendMatch.json", "JSON", 0, 138, 0, 1, 139
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/matching/match/LegendMatching.sol/LegendMatching.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/matching/match/LegendMatching.sol/LegendMatching.json", "JSON", 0, 283, 0, 1, 284
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/rejuvenation/IRejuvenationPod.sol/IRejuvenationPod.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/rejuvenation/IRejuvenationPod.sol/IRejuvenationPod.json", "JSON", 0, 148, 0, 1, 149
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/rejuvenation/LegendRejuvenation.sol/LegendRejuvenation.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/rejuvenation/LegendRejuvenation.sol/LegendRejuvenation.json", "JSON", 0, 329, 0, 1, 330
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/token/LegendToken.sol/LegendToken.dbg.json", "JSON", 0, 4, 0, 1, 5
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/abis/token/LegendToken.sol/LegendToken.json", "JSON", 0, 411, 0, 1, 412
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/config/contract-ABIs.ts", "TypeScript", 14, 0, 0, 2, 16
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/config/contract-addresses.ts", "TypeScript", 14, 0, 0, 2, 16
"/home/gavin/LegendaryLabs/GraphQL-API/src/contract-lab/contract-lab.service.ts", "TypeScript", 54, 0, 1, 12, 67
"/home/gavin/LegendaryLabs/GraphQL-API/src/main.ts", "TypeScript", 7, 0, 0, 2, 9
"Total", "-", 946, 6216, 98, 354, 7614